Code,Food Group,Reference,Food Item Name,Mois,Energy,Energy,N,Prot,Fat,SAFA,MUFA,PUFA,Chol,CHO,"CHO,",Total,Added,Fiber,Starch,Ash,Ca,Fe,Mg,P,K,Na,Zn,Cu,Mn,I,Se,VitA-RAE,VitA-RE,Thia,Ribo,Niac,Vit B6,Folate,Vit B12,Panto,Biot,Vit C,Vit D,Vit E,Phytate
,,,,(g),(kCal),(kJ),(g),(g),(g),(g),(g),(g),(mg),Total (g),avail (g),Sugar (g),Sugar (g),(g),(g),(g),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mcg),(mcg),(mcg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mg),(mcg),(mg),(mcg),(mg),(mg)
MW01_0011,Staples,10,"Cassava, tuber, raw",59.7,160,678,0.2,1.2,0.3,,0,,0,38,36.2,,0,1.8,,1,77,1.5,81,48,275,14,1.13,0.4,,,1,1,,0.04,0.05,0.7,0.091,24,0,,,30,0,0.19,
MW10_0004,,,Chibuku/ Napolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW03_0011,Animal,26,"Chicken, meat with skin, free range, local, raw",73.1,129,541,3.38,21.1,4.9,,,,,0,0,0,0,0,0,1.3,8,1,1.8,146,207,43,1.6,,,,,7,,0.09,0.06,3.7,0.272,2,0.2,,,1,,0.28,0
MW04_0003,Vegetables,9,"Chinese cabbage, boiled",95,19,80,0.13,0.8,0.1,,,,0,3.6,2,,0,1.6,,0.5,84,0.3,15,22,167,9,0.6,0.06,200,,,,8,0.02,0.02,0.5,0.049,13,0,0.09,4.3,38,0,0,
MW01_0025,Staples,R19,Chips (vendor),44.8,307,1275,0.37,3.3,23.5,2.45,4.55,15.4,,20.6,18.3,,,2.2,,0.8,8,1,20,61,445,3,0.41,0.17,187,,,,1,0.18,0.01,1.9,0.287,3,,0.44,,16,,9.68,
MW06_0002,Fats and Oils,12,Cooking oil,0,900,3700,,,100,15.65,22.78,57.74,,,,,,,,,,0.1,,,,,0.01,,,,,,3,,,,,,,,,,,8.18,
MW02_0007,Legume ,10,Cowpea (khobwe),11.1,349,1483,3.42,21.4,1.3,,,,,63,47.6,5.7,,15.4,,3.2,87,5.9,195,390,1220,20,2.95,0.73,,,5.8,3,,0.72,0.15,3.1,0.363,421,,,,1,0,0.42,
MW10_0005,,,Cucumber,95.23,15,63,,0.65,0.11,,,,,6,6,,,0.5,5.65,,16,0.28,13,24,147,2,0.2,0.041,,,0.3,5,,,,,,7,,,,,,0.03,
MW03_0020,Animal,,Dried fish,17,419,1754,,9.21,57.6,20.1,,,,,1.8,1.8,,0,,3.5,,1145,3.2,143,1345,1328,340,5.5,0.2,3400,,88,,0.42,,0.21,4.9,1.024,28,8.1,,,0,30.37,2.05
MW03_0015,Animal,MZF,Eggs,75,148,616,,2.02,12.6,10.3,,,,,1.2,1.2,,0,,0.9,,39,1.8,9,192,98,126,1.15,,,,67,,0.13,,0.4,0.1,0.04,46,1.9,,,0,,
MW03_0021,Animal,R34,Fish (vendor),60.8,207,866,2.9,18.1,11.8,0.38,0.72,2.44,,7.1,7,,0,0.1,0,1.1,44,1.7,29,224,279,78,0.84,0.04,,,,38,0,0.14,0.18,1.1,0.229,18,1.9,,,0,,1.53,
MW10_0006,,,Freezes (flavoured ice),,142,594,,4.42,2.21,,,,13,,,21.24,,,26.55,,177,,,,,133,,,,,,,,,,,,,,,,,,,
MW03_0059,Animal,20,Fresh milk ,87.9,67,277,0.46,2.9,4.2,,,,,4.4,4.4,,,,,0.7,120,0.1,12,90,136,65,0.38,,,,,44,,0.02,0.16,0.1,0.04,5,0.4,,,1,,0.07,
MW03_0052,Animal,WA,Goat ,68,165,690,2.8,17.5,10.6,,,,,0,0,0,0,0,0,1.1,11,2.4,27,150,385,82,3.45,0.16,,,,0,,0.18,0.29,6.1,0.4,5,1.1,,,0,,0.18,
MW10_0007,,,Green maize ,100,86,360,,3.27,1.35,,,,0,,,6.26,,,,,2,0.52,,89,,15,0.46,0.054,,,0.6,9,,0.155,0.055,1.77,0.093,42,0,,,6.8,0,0.07,
MW03_0032,Animal,27,Fresh fish ,96.8,21,89,0.54,3.4,0.9,,,,14,0,0,3.52,,,,0.9,14,0.51,,,275,592,,,,,,,,,,,,,,,,0,,,
MW02_0014,Legume,10,Groundnut,6.5,597,2481,3.72,23.2,45.8,0,0,0,0,23.1,14.6,0,0,8.5,0,2.3,45,2.1,200,358,725,6,2.32,0.93,0,0,2.9,0,0,0.87,0.14,15.5,0.589,110,0,0,0,0,0,10.88,0
MW03_0010,Legume,9,Groundnut flour ,8,583,2420,4.09,25.6,44.6,0,0,0,0,19.7,10.2,0,0,9.5,0,2,83,3.8,187,455,892,18,2.8,0.8,930,0,0,0,0,0.86,0.14,9.5,0.577,108,0,0,0,0,0,10.6,0
MW05_0008,Fruits ,9,Guava ,83,71,300,0.13,0.8,1,0,0,0,0,14.7,7,0,0,7.8,0,0.6,7,0.4,18,28,282,7,0.2,0.1,90,0,0,5,0,0.05,0.02,1.2,0.79,19,0,0,0,341,0,0.72,0
